placeDcid,placeName,Value:Median_Income_Household,Value:Count_Person_18OrMoreYears,Value:Count_Person_NeverMarried,Value:Count_Person_MarriedAndNotSeparated,Store_Present
zip/11947,11947,26913,153,,,0
zip/11948,11948,121250,461,77,223,0
zip/11949,11949,125926,10659,2759,6646,0
zip/11950,11950,96165,12138,5754,5466,0
zip/11951,11951,99040,10820,4153,5555,0
zip/11952,11952,107077,4391,1064,2697,0
zip/11953,11953,89802,11114,3849,4708,0
zip/11954,11954,138900,3581,1276,1875,0
zip/11955,11955,77391,2452,701,1438,0
zip/11956,11956,106042,274,76,171,0
zip/11957,11957,86938,1220,321,657,0
zip/11958,11958,65438,680,202,389,0
zip/11959,11959,145341,484,151,311,0
zip/11960,11960,173750,807,144,624,0
zip/11961,11961,85916,10818,3235,5718,0
zip/11962,11962,86375,291,86,125,0
zip/11963,11963,111129,6763,1845,4137,0
zip/11964,11964,98409,2359,724,1449,0
zip/11965,11965,82154,491,218,151,0
zip/11967,11967,109019,21051,7651,10781,1
zip/11968,11968,142500,11369,3128,6346,0
zip/11970,11970,21900,563,,465,0
zip/11971,11971,104720,4802,955,3326,0
zip/11972,11972,91711,279,91,65,0
zip/11973,11973,,39,39,,0
zip/11975,11975,148958,385,135,155,0
zip/11976,11976,185000,2158,387,1277,0
zip/11977,11977,139375,2360,461,1656,0
zip/11978,11978,120909,3264,1245,1633,0
zip/11980,11980,113004,4363,1649,2054,0
